,a,b
astropy__astropy-12907,1.9736303391062788,-0.8670563697814941
astropy__astropy-13033,0.9966010623056056,5.109095573425293
astropy__astropy-13236,0.6348813092641463,4.274969577789307
astropy__astropy-13398,2.0317153261422294,5.065447807312012
astropy__astropy-13453,1.523157732783836,-0.20395003259181976
astropy__astropy-13579,2.194732201537551,-1.0483838319778442
astropy__astropy-13977,1.6931359816698646,5.165438175201416
astropy__astropy-14096,1.1700806501760153,-1.2547694444656372
astropy__astropy-14182,1.280995863026337,3.0954129695892334
astropy__astropy-14309,1.2748514544912704,-3.6678569316864014
astropy__astropy-14365,1.386839407640441,2.303953170776367
astropy__astropy-14369,1.3558086012603374,1.8696352243423462
astropy__astropy-14508,1.8332238098896505,-0.5095853805541992
astropy__astropy-14539,1.506544233127707,-1.452541708946228
astropy__astropy-14598,1.0318311016753863,3.6201565265655518
astropy__astropy-14995,1.6873310162643302,-2.1218502521514893
astropy__astropy-7166,1.1712068839281264,-1.9909310340881348
astropy__astropy-7336,0.8849954916385734,-3.4088478088378906
astropy__astropy-7606,0.4946818283171104,5.879606246948242
astropy__astropy-7671,0.7212858257109764,-3.0648255348205566
astropy__astropy-8707,0.5732953303651375,4.707005500793457
astropy__astropy-8872,0.6825098613287679,4.519603729248047
django__django-10097,0.5123846255439796,1.4746918678283691
django__django-10554,1.7844742867698973,4.9480671882629395
django__django-10880,1.2852004429046167,-1.5872944593429565
django__django-10914,1.107592940420464,-2.4897384643554688
django__django-10973,1.0341466951134786,-2.0553700923919678
django__django-10999,2.1702143263869633,4.342999458312988
django__django-11066,1.35847981927668,-3.968723773956299
django__django-11087,1.964277798575728,5.156368255615234
django__django-11095,2.344044667842858,-2.551220417022705
django__django-11099,1.234008461231493,-3.835149049758911
django__django-11119,1.0481561650293698,-3.7848055362701416
django__django-11133,1.0097875370498393,-3.2831876277923584
django__django-11138,2.1029511849332443,2.351517915725708
django__django-11141,0.9026619647768248,2.6455276012420654
django__django-11149,1.1465440374445355,1.259393572807312
django__django-11163,1.3111257159772851,-3.4019887447357178
django__django-11179,1.848356367043587,-2.2498879432678223
django__django-11206,0.5227765076068972,1.0881328582763672
django__django-11211,1.8922424479257522,-0.833763062953949
django__django-11239,1.3060521877515139,0.4837650656700134
django__django-11265,0.7116712227435296,1.667216420173645
django__django-11276,0.6203581735926722,-1.8852183818817139
django__django-11292,2.0747892671605745,-1.493050456047058
django__django-11299,1.582410751802347,-0.2388327568769455
django__django-11333,1.741151773506339,0.09923741221427917
django__django-11400,2.0060250770184926,4.970111846923828
django__django-11433,1.6984319870038629,2.069199800491333
django__django-11451,0.9229018145952528,-2.008962869644165
django__django-11477,0.9079892014082177,5.0997538566589355
django__django-11490,1.1484684123720776,0.5676570534706116
django__django-11532,0.5672938915193988,0.7414575815200806
django__django-11551,1.5249369306942238,-2.460780143737793
django__django-11555,1.0967132174573397,0.5661965608596802
django__django-11603,1.2815347061453903,-3.2093770503997803
django__django-11728,1.2114580087155262,2.7236359119415283
django__django-11734,1.4032009154471226,3.4925734996795654
django__django-11740,1.7874976593907352,-0.38745397329330444
django__django-11749,1.1922259179681494,-1.4121525287628174
django__django-11790,0.2649212231792598,4.3239850997924805
django__django-11815,0.7551654814925635,-1.0541234016418457
django__django-11820,1.8882034835757182,3.875817060470581
django__django-11848,0.4099455860779415,1.8656699657440186
django__django-11880,2.2413084492663735,-2.984431505203247
django__django-11885,1.515912400965379,2.5835492610931396
django__django-11951,1.1931627435465193,-2.0399646759033203
django__django-11964,0.47799631030450457,2.245022773742676
django__django-11999,1.2306942248835075,-2.2224504947662354
django__django-12039,1.121820221914417,-0.24064289033412933
django__django-12050,1.6879119239604383,-2.1479177474975586
django__django-12125,0.9266416380902545,0.22627529501914978
django__django-12143,1.3348863604115446,-3.1558902263641357
django__django-12155,0.9833024437541317,-4.129524230957031
django__django-12193,0.4317254852747414,-0.14879027009010315
django__django-12209,1.124062594579703,-1.9931176900863647
django__django-12262,1.2052218314938352,-0.8519835472106934
django__django-12273,0.84837370911783,3.0118913650512695
django__django-12276,1.0570071947798156,-2.1068530082702637
django__django-12304,1.8485898333406232,-0.8017808198928833
django__django-12308,0.4843301578312255,3.097827196121216
django__django-12325,0.533051287506343,3.9052486419677734
django__django-12406,1.5698874189454217,4.222577095031738
django__django-12419,0.9864832485452489,-3.6551852226257324
django__django-12663,1.4989837693711443,0.39389026165008545
django__django-12708,1.8623328587339811,-0.8558012247085571
django__django-12713,1.1107720618238266,-2.0943946838378906
django__django-12741,1.2471263366299696,-1.2666772603988647
django__django-12754,2.17196805156957,0.2856398820877075
django__django-12774,1.7098287600747402,0.05517476424574852
django__django-12858,1.4140754552412866,-0.8666848540306091
django__django-12965,2.0965721367182177,0.6531192660331726
django__django-13012,1.241196042428981,-1.1567965745925903
django__django-13023,1.0209595527005912,0.007733695209026337
django__django-13028,1.203201499878073,-1.6078448295593262
django__django-13033,1.6096546944559746,-0.2846183180809021
django__django-13089,1.3351514191618923,-3.1152942180633545
django__django-13109,0.9631293935039328,-2.8524699211120605
django__django-13112,1.7391954649521935,0.6021876335144043
django__django-13121,1.831173656680016,0.025194764137268066
django__django-13128,2.264910719652121,0.23276719450950623
django__django-13158,1.7778008210613458,-0.24605192244052887
django__django-13195,1.478255848294994,3.6753039360046387
django__django-13212,2.117999495921909,5.074065685272217
django__django-13279,1.5004717675220653,-0.9393067955970764
django__django-13297,1.6771523977490932,0.2325732260942459
django__django-13315,1.0730124082190644,-0.7448428869247437
django__django-13343,1.1986640464056848,-1.2012195587158203
django__django-13344,1.537010800979174,3.583477020263672
django__django-13346,1.8708252968349548,0.29496029019355774
django__django-13363,1.780507853265199,-2.532700538635254
django__django-13401,1.0097040832154307,-1.1011877059936523
django__django-13406,1.1799054414467773,0.03173866122961044
django__django-13410,1.2004353736034166,-3.1300787925720215
django__django-13417,1.4760562114616145,-1.7536439895629883
django__django-13449,1.483127890227218,-0.3449803292751312
django__django-13512,0.8728353034827164,1.0195186138153076
django__django-13513,2.0083335963945133,4.907441139221191
django__django-13516,1.5081906178224118,-2.1072821617126465
django__django-13551,1.4825134074421427,0.127833291888237
django__django-13568,1.421285939436228,0.6152952909469604
django__django-13569,1.2910006497743312,-1.1863514184951782
django__django-13590,1.293910658531622,-1.2425075769424438
django__django-13658,1.0141524995717153,-4.390865325927734
django__django-13670,1.4471583076981378,-2.962089776992798
django__django-13741,0.9700097954322253,-3.118828773498535
django__django-13786,1.235873545951234,-2.4801743030548096
django__django-13794,0.5847653165119943,5.081936359405518
django__django-13807,1.4882781437159458,0.889853835105896
django__django-13809,0.7031430413684614,-1.8903062343597412
django__django-13810,0.8964328501791281,-1.2833572626113892
django__django-13820,1.5192108851172517,-2.7263808250427246
django__django-13821,1.6552622855179422,-2.1309926509857178
django__django-13837,1.374910217006861,-1.5121846199035645
django__django-13925,0.7410373473504056,0.5043520927429199
django__django-13933,1.5800914033379816,-2.0464093685150146
django__django-13964,1.0388505219892075,-0.0929417684674263
django__django-14007,1.4694232733187633,-0.679079532623291
django__django-14011,1.9762334907879404,5.016550540924072
django__django-14017,1.7837338351718357,-0.7604326605796814
django__django-14034,2.0577344559302952,4.684025764465332
django__django-14053,0.7058784671771394,-1.9064339399337769
django__django-14089,1.1522977528470901,-3.236482858657837
django__django-14122,1.2415788239040328,-0.5104233026504517
django__django-14140,0.40583879228434505,2.5581166744232178
django__django-14155,1.7753093136903337,4.959845542907715
django__django-14170,1.5616084554528578,3.700357437133789
django__django-14238,1.4592457226788103,-1.9521758556365967
